file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,41,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,42,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,11
static\style.css,43,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,32
static\style.css,44,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,49
static\style.css,45,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,46,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,14
static\style.css,47,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,39
static\style.css,48,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,49,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,50,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,3
static\style.css,51,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,28
static\style.css,52,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,53,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,54,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,3
static\style.css,55,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,28
static\style.css,56,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,57,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,22
static\style.css,58,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,29
static\style.css,59,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,31
static\style.css,60,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,61,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,62,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,7
static\style.css,63,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,29
static\style.css,64,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,53
static\style.css,65,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,31
static\style.css,66,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\style.css,67,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,6
static\style.css,68,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,56
static\style.css,69,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,33
static\style.css,70,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,41
static\style.css,71,css,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,1,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,23
static\global.js,2,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,3,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,46
static\global.js,4,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,53
static\global.js,5,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,6,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,7,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,26
static\global.js,8,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,9,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,31
static\global.js,10,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,64
static\global.js,11,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,1
static\global.js,12,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,13,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,54
static\global.js,14,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,36
static\global.js,15,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,3
static\global.js,16,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,17,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,71
static\global.js,18,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,19,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,12
static\global.js,20,js,2f07166b,JuanPablo Andrew Heredia,2025-03-18,23:04:48,-03:00,2025-03-18T23:04:48-03:00,1,25
static\global.js,21,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,36
static\global.js,22,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,1,34
static\global.js,23,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,32
static\global.js,24,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,56
static\global.js,25,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,1
static\global.js,26,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,27,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,42
static\global.js,28,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,29
static\global.js,29,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,30,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,24
static\global.js,31,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,19
static\global.js,32,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,23
static\global.js,33,js,91e61590,JuanPablo Andrew Heredia,2025-03-18,22:36:41,-03:00,2025-03-18T22:36:41-03:00,0,0
static\global.js,34,js,fc6e56ea,Juanpablo Andrew Heredia,2025-04-09,18:54:25,-03:00,2025-04-09T18:54:25-03:00,0,52
